============================================================
EXTRACTING ALL REMAINING PARCELS (294,382)
============================================================
Codes to extract: 382
Expected parcels: 294,382
Building task list...
Total batches: 160602
Starting parallel extraction with 8 threads...
[20/160602] 1,293 parcels (0.4%) | 25,531/min
[40/160602] 4,051 parcels (1.4%) | 44,872/min
[60/160602] 6,588 parcels (2.2%) | 48,759/min
[80/160602] 8,211 parcels (2.8%) | 46,453/min
[100/160602] 10,726 parcels (3.6%) | 48,543/min
[120/160602] 13,382 parcels (4.5%) | 51,598/min
[140/160602] 15,778 parcels (5.4%) | 52,657/min
[160/160602] 17,277 parcels (5.9%) | 51,149/min
[180/160602] 20,614 parcels (7.0%) | 54,168/min
[200/160602] 24,555 parcels (8.3%) | 58,883/min
[220/160602] 28,056 parcels (9.5%) | 61,052/min
[240/160602] 32,658 parcels (11.1%) | 65,277/min
[260/160602] 36,984 parcels (12.6%) | 67,752/min
[280/160602] 41,565 parcels (14.1%) | 71,104/min
[300/160602] 46,552 parcels (15.8%) | 74,210/min
[320/160602] 51,184 parcels (17.4%) | 76,336/min
[340/160602] 55,756 parcels (18.9%) | 78,392/min
[360/160602] 60,596 parcels (20.6%) | 80,573/min
[380/160602] 65,343 parcels (22.2%) | 82,636/min
[400/160602] 69,610 parcels (23.6%) | 83,354/min
[420/160602] 73,831 parcels (25.1%) | 84,371/min
[440/160602] 79,147 parcels (26.9%) | 86,082/min
[460/160602] 83,225 parcels (28.3%) | 86,527/min
[480/160602] 87,980 parcels (29.9%) | 87,927/min
[500/160602] 92,275 parcels (31.3%) | 88,360/min
[520/160602] 96,466 parcels (32.8%) | 88,752/min
[540/160602] 100,894 parcels (34.3%) | 89,241/min
[560/160602] 106,064 parcels (36.0%) | 90,439/min
[580/160602] 110,513 parcels (37.5%) | 91,306/min
[600/160602] 111,310 parcels (37.8%) | 89,197/min
[620/160602] 112,350 parcels (38.2%) | 87,473/min
[640/160602] 113,225 parcels (38.5%) | 85,427/min
[660/160602] 114,338 parcels (38.8%) | 83,896/min
[680/160602] 115,004 parcels (39.1%) | 82,161/min
[700/160602] 115,958 parcels (39.4%) | 80,406/min
[720/160602] 116,917 parcels (39.7%) | 78,947/min
[740/160602] 118,453 parcels (40.2%) | 78,031/min
[760/160602] 118,999 parcels (40.4%) | 76,365/min
[780/160602] 119,690 parcels (40.7%) | 74,944/min
[800/160602] 120,694 parcels (41.0%) | 73,811/min
[820/160602] 121,371 parcels (41.2%) | 72,450/min
[840/160602] 122,223 parcels (41.5%) | 71,148/min
