objectid,parcel_id,parcel_no,block_no,plan_no,district,land_use_code,latitude,longitude
2608971,14472712,252/1,252,2491/أ,089,1220,24.85327,46.814815
2609252,14457907,210,2,3675,091,1098,24.849206,46.767613
2610716,14448016,270/2,270,2491/أ,089,1220,24.854379,46.806046
2611060,14462508,50,9,3314/10,133,1020,24.506338,46.73759
2611081,14449438,377,46,2960,079,1220,25.026998,46.563593
2611227,14449444,378,46,2960,079,1220,25.026735,46.564384
2611584,14462305,53,11,3314/10,133,1020,24.50504,46.737128
2611750,14449442,379/1,46,2960,079,1220,25.027679,46.563865
2611780,14448170,,0,1578/ب,066,1099,24.750753,46.650993
2612035,14449443,379/2,46,2960,079,1220,25.027425,46.563763
2612483,14449440,380,46,2960,079,1220,25.027276,46.564511
2612616,14449439,375,46,2960,079,1220,25.026362,46.563338
2612753,14461996,44,6,3314/10,133,1020,24.506431,46.734338
2643017,14403014,277,27,3921,077,1098,24.891053,46.595056
2643055,14415889,562,35,710106048393/س,078,1101,24.887949,46.647115
2643067,14415962,190,19,710106048393/س,078,1101,24.890006,46.647363
2643068,14415964,447,30,710106048393/س,078,1101,24.888559,46.644014
2643069,14415966,498,33,710106048393/س,078,1101,24.888252,46.646318
2643113,14415911,755,45,710106048393/س,078,1101,24.885312,46.65055
2643114,14415921,154,15,710106048393/س,078,1101,24.890226,46.643558
2643115,14415929,278,21,710106048393/س,078,1101,24.890618,46.646046
2643116,14415950,1090,63,710106048393/س,078,1101,24.884367,46.648768
2643117,14415953,594,36,710106048393/س,078,1101,24.887251,46.645441
2643118,14415957,699,42,710106048393/س,078,1101,24.886314,46.650495
2643169,14415890,1207,70,710106048393/س,078,1101,24.884628,46.646859
2643170,14415903,289,21,710106048393/س,078,1101,24.890215,46.645079
2643171,14415904,959,53,710106048393/س,078,1101,24.886877,46.648678
2643183,14415965,1155,66,710106048393/س,078,1101,24.883907,46.648077
2643184,14415967,779,45,710106048393/س,078,1101,24.885225,46.650342
2643242,14415915,456,30,710106048393/س,078,1101,24.887836,46.644376
2643243,14415933,15,3,710106048393/س,078,1101,24.890951,46.648883
2643245,14415940,1144,65,710106048393/س,078,1101,24.884863,46.647598
2643275,14387896,60,18,3240/أ,089,1020,24.882776,46.840661
2643327,14383725,2498,0,3139,231,1098,25.061435,47.189035
2643334,14387471,41,14,3240/أ,089,1020,24.881705,46.836827
2643851,14403002,272,12,3921,077,1099,24.888206,46.588053
2643896,14415892,417,28,710106048393/س,078,1101,24.888189,46.645192
2643897,14415897,44,7,710106048393/س,078,1101,24.891086,46.648353
2643898,14415907,11,2,710106048393/س,078,1101,24.891348,46.648684
2643907,14413643,418/3,0,2491/ب,089,1220,24.859639,46.825466
2643970,14415912,1065,60,710106048393/س,078,1101,24.884044,46.64935
2643971,14415919,1170,67,710106048393/س,078,1101,24.885321,46.645689
2643972,14415932,214,19,710106048393/س,078,1101,24.889919,46.647154
2643973,14415942,49,8,710106048393/س,078,1101,24.890603,46.648596
2643974,14415946,494,33,710106048393/س,078,1101,24.888398,46.646669
2643975,14415948,902,52,710106048393/س,078,1101,24.886027,46.645719
2644009,14387453,58,17,3240/أ,089,1020,24.88315,46.841816
2644097,14383499,2515,0,3139,231,1099,25.065044,47.190942
2644157,14387732,55,17,3240/أ,089,1020,24.883814,46.843126
2644194,14388938,2,0,2800,089,1220,24.89768,46.823077
2644310,14402530,365,24,3920,077,1098,24.91647,46.580157
2644352,14402776,364,24,3920,077,1099,24.916425,46.58005
2644449,14396605,157/1/1,14,3230,077,1218,24.864533,46.624499
2644738,14417466,,0,2572/أ,134,1099,24.513198,46.657627
2644755,14402407,362,11,3920,077,1098,24.914869,46.576301
2644949,14415894,1310,71,710106048393/س,078,1101,24.883845,46.645356
2644950,14415895,1234,71,710106048393/س,078,1101,24.884231,46.646455
2644952,14415900,201,20,710106048393/س,078,1101,24.889074,46.64783
2644953,14415902,1053,59,710106048393/س,078,1101,24.88508,46.648882
2644959,14413642,418/4/أ,0,2491/ب,089,1220,24.859296,46.825643
2644997,14403232,,709,1822/هـ,092,1098,24.795036,46.74415
2645010,14415909,232,20,710106048393/س,078,1101,24.888435,46.647897
2645011,14415914,83,11,710106048393/س,078,1101,24.890936,46.647732
2645012,14415924,497,33,710106048393/س,078,1101,24.888288,46.646404
2645013,14415925,1002,56,710106048393/س,078,1101,24.884402,46.649919
2645014,14415927,530,33,710106048393/س,078,1101,24.888063,46.646413
2645015,14415944,1019,59,710106048393/س,078,1101,24.885486,46.648929
2645023,14387813,50,16,3240/أ,089,1020,24.884839,46.835579
2645058,14387816,44,15,3240/أ,089,1020,24.883281,46.836368
2645061,14387830,47,15,3240/أ,089,1020,24.883985,46.835961
2645079,14388101,53,16,3240/أ,089,1020,24.885528,46.835145
2645096,14387889,70,20,3240/أ,089,1020,24.884405,46.838118
2645108,14387984,54,16,3240/أ,089,1020,24.885822,46.835082
2645133,14383668,2510,190,3139,231,1099,25.072806,47.189232
2645140,14383709,2489,100,3139,231,1099,25.059576,47.196662
2645159,14387589,1026,27,3240/أ,089,1098,24.88799,46.842015
2645225,14415920,582,35,710106048393/س,078,1101,24.887614,46.646858
2645226,14415939,1225,70,710106048393/س,078,1101,24.884585,46.647305
2645227,14415943,245,21,710106048393/س,078,1101,24.89062,46.645503
2645228,14415952,953,54,710106048393/س,078,1101,24.886057,46.649342
2645229,14415955,159,15,710106048393/س,078,1101,24.890047,46.643129
2645301,14387747,73,21,3240/أ,089,1020,24.885418,46.837656
2645511,14402783,368,0,3920,077,1099,24.913674,46.578239
2645613,14415678,101,0,3928,095,1099,24.843815,46.884293
2645631,14415891,252,21,710106048393/س,078,1101,24.890368,46.644898
2645632,14415901,783,46,710106048393/س,078,1101,24.884856,46.650527
2645634,14415908,1150,65,710106048393/س,078,1101,24.884376,46.647842
2645641,14413645,418/1,0,2491/ب,089,1220,24.860341,46.825103
2646017,14481251,6749,7,3768,095,1099,24.915598,46.95054
2646198,14343165,389,11,3738,134,1098,24.512119,46.645048
2646227,14298123,,34,3225,074,1099,24.789716,46.575698
2646228,14298213,467,53,3225,074,1020,24.790921,46.567467
2646315,14326203,6,0,2832,091,1220,24.848549,46.770755
2646695,14298461,480,54,3225,074,1020,24.786923,46.568405
2646735,14301433,16,2,3236/5,078,1016,24.897103,46.635129
2646736,14301435,11,2,3236/5,078,1016,24.898829,46.634284
2646754,14296701,,0,2140,144,1099,24.597698,46.671225
2646837,14301125,40,10,3849,078,1020,24.897503,46.635172
2646843,14301203,39,10,3849,078,1020,24.897834,46.635015
2646963,14344118,40/1,9,3205,078,1020,24.870492,46.644469
2646965,14344126,43/1,9,3205,078,1020,24.870998,46.645282
2647770,14283167,70,0,3016,146,1220,24.588128,46.701203
2667889,14349583,1093,7,3314/11,133,1098,24.504218,46.733423
2668022,14330767,,0,2703,090,1098,24.828226,46.729793
2668253,14355026,414,20,3810/س/المعدل,156,1017,24.95782,46.621715
2668254,14355035,1127,55,3810/س/المعدل,156,1017,24.963554,46.622094
2668255,14355040,596,29,3810/س/المعدل,156,1017,24.958925,46.619642
2668256,14355041,1812,90,3810/س/المعدل,156,1017,24.962406,46.625636
2668257,14355042,1267,64,3810/س/المعدل,156,1017,24.966091,46.620008
2668258,14355044,2833,134,3810/س/المعدل,156,1017,24.966918,46.630078
2668259,14355052,283,9,3810/س/المعدل,156,1017,24.956858,46.61924
2668260,14355054,1537,77,3810/س/المعدل,156,1017,24.959822,46.627547
2668261,14355062,504,26,3810/س/المعدل,156,1017,24.958597,46.622284
2668262,14355070,2847,135,3810/س/المعدل,156,1017,24.965287,46.631157
2668263,14355072,2346,115,3810/س/المعدل,156,1017,24.962701,46.629078
2668264,14355076,450,22,3810/س/المعدل,156,1017,24.957103,46.623741
2668265,14355083,1819,90,3810/س/المعدل,156,1017,24.961288,46.626614
2668266,14355099,595,29,3810/س/المعدل,156,1017,24.958889,46.619575
2668267,14355102,213,7,3810/س/المعدل,156,1017,24.956327,46.618026
2668268,14355112,910,44,3810/س/المعدل,156,1017,24.962651,46.620334
2668269,14355118,625,30,3810/س/المعدل,156,1017,24.959463,46.61813
2668271,14355128,2300,113,3810/س/المعدل,156,1017,24.961931,46.628962
2668272,14355133,138,4,3810/س/المعدل,156,1017,24.956168,46.621382
