district_code,district_name_ar,district_name_en,villas,apartments,total_residential,villa_pct,apartment_pct,building_type
136,عريض,ORAID,51109,4512,55621,91.9,8.1,VILLA-HEAVY
175,الخير,AL-KHEAR,42900,945,43845,97.8,2.2,VILLA-HEAVY
147,طويق,TWAEEQ,13608,18721,32329,42.1,57.9,APARTMENT-HEAVY
095,الجنادرية,AL-JANADRIYAH,4519,26412,30931,14.6,85.4,APARTMENT-HEAVY
168,ضاحية نمار,DAHIAT NAMAR,5597,21225,26822,20.9,79.1,APARTMENT-HEAVY
077,العارض,AL-ARID,16677,8651,25328,65.8,34.2,VILLA-HEAVY
089,الرمال,AR-RIMAL,10222,12495,22717,45.0,55.0,APARTMENT-HEAVY
078,النرجس,AN-NARJIS,14696,7861,22557,65.2,34.8,VILLA-HEAVY
155,ظهرة لبن,DAHRAT LABAN,16840,150,16990,99.1,0.9,VILLA-HEAVY
110,النظيم,AN-NADHEEM,8075,8481,16556,48.8,51.2,APARTMENT-HEAVY
246,البشائر,Al Bashaer,50,16272,16322,0.3,99.7,APARTMENT-HEAVY
133,بدر,BADER,9312,6258,15570,59.8,40.2,VILLA-HEAVY
154,المهدية,AL-MAHDIYAH,14062,111,14173,99.2,0.8,VILLA-HEAVY
226,الزاهر,Al Zaher,13856,0,13856,100.0,0.0,VILLA-HEAVY
073,القيروان,AL-QAIRAWAN,4553,8857,13410,34.0,66.0,APARTMENT-HEAVY
074,الملقا,AL-MALQA,9403,3508,12911,72.8,27.2,VILLA-HEAVY
080,الياسمين,AL-YASMEEN,12647,82,12729,99.4,0.6,VILLA-HEAVY
229,العلا,Al Ola,12157,0,12157,100.0,0.0,VILLA-HEAVY
156,مطار الملك خالد الدولي,KING KHALID INT.AIRPORT,0,11775,11775,0.0,100.0,APARTMENT-HEAVY
123,العزيزية,AL-AZIZIYAH,6606,5025,11631,56.8,43.2,VILLA-HEAVY
238,الوسام,Al Wasam,2,11070,11072,0.0,100.0,APARTMENT-HEAVY
172,سدرة,Sedra,0,10873,10873,0.0,100.0,APARTMENT-HEAVY
124,الدار البيضاء,AD-DAR AL- BAIDA,8473,2214,10687,79.3,20.7,VILLA-HEAVY
091,المونسية,AL-MUANISIYAH,7990,2657,10647,75.0,25.0,VILLA-HEAVY
138,العريجاء الغربي,WEST AL-ORAIJA,9878,730,10608,93.1,6.9,VILLA-HEAVY
107,النسيم الغربي,WEST AN-NASEEM,10279,2,10281,100.0,0.0,VILLA-HEAVY
240,السحاب,Al Sahab,0,9516,9516,0.0,100.0,APARTMENT-HEAVY
225,النخبة,Al Nakhbah,9167,0,9167,100.0,0.0,VILLA-HEAVY
104,النهضة,AN-NAHDAH,8400,597,8997,93.4,6.6,VILLA-HEAVY
227,التضامن,Al Tazamon,8656,0,8656,100.0,0.0,VILLA-HEAVY
239,المرجان,Al Marjan,0,8010,8010,0.0,100.0,APARTMENT-HEAVY
230,الشعلة,Al Shohlah,7829,0,7829,100.0,0.0,VILLA-HEAVY
090,قرطبة,QURTUBAH,6547,1089,7636,85.7,14.3,VILLA-HEAVY
228,المشرق,Al Mashriq,7332,0,7332,100.0,0.0,VILLA-HEAVY
150,الحزم,AL-HAZM,540,6758,7298,7.4,92.6,APARTMENT-HEAVY
100,الخليج,AL-KHALEEJ,7152,0,7152,100.0,0.0,VILLA-HEAVY
013,العليا,AL-OLAYA,7003,15,7018,99.8,0.2,VILLA-HEAVY
097,إشبيلية,ISHBILIYAH,6906,6,6912,99.9,0.1,VILLA-HEAVY
134,عكاظ,OKAZ,3796,2968,6764,56.1,43.9,VILLA-HEAVY
149,ديراب,DIRAB,3876,2852,6728,57.6,42.4,VILLA-HEAVY
079,بنبان,BINBAN,2471,4228,6699,36.9,63.1,APARTMENT-HEAVY
152,عرقة,IRQAH,6252,272,6524,95.8,4.2,VILLA-HEAVY
127,المصفاة,AL-MISFAH,6310,2,6312,100.0,0.0,VILLA-HEAVY
237,البيان,Al Bayan,6248,0,6248,100.0,0.0,VILLA-HEAVY
203,العوالي,AL-Awaly,5664,526,6190,91.5,8.5,VILLA-HEAVY
075,حطين,HITTEEN,3968,2060,6028,65.8,34.2,VILLA-HEAVY
019,الربوة,AR-RABWAH,5922,86,6008,98.6,1.4,VILLA-HEAVY
108,النسيم الشرقي,EAST AN-NASEEM,5833,13,5846,99.8,0.2,VILLA-HEAVY
102,الروضة,AR-RAWDAH,5791,0,5791,100.0,0.0,VILLA-HEAVY
130,الشفا,ASH-SHIFA,5683,2,5685,100.0,0.0,VILLA-HEAVY
093,اليرموك,AL-YARMUK,5651,0,5651,100.0,0.0,VILLA-HEAVY
081,الصحافة,AS-SAHAFA,5549,0,5549,100.0,0.0,VILLA-HEAVY
141,ظهرة البديعة,DAHRAT AL-BADEAH,5513,12,5525,99.8,0.2,VILLA-HEAVY
139,العريجاء الأوسط,MIDDLE AL-URAIJA,5119,0,5119,100.0,0.0,VILLA-HEAVY
094,القادسية,AL-QADISIYAH,3351,1746,5097,65.7,34.3,VILLA-HEAVY
126,طيبة,TAYBAH,102,4926,5028,2.0,98.0,APARTMENT-HEAVY
144,السويدي,AS-SUWAIDI,4949,0,4949,100.0,0.0,VILLA-HEAVY
